23.8, 1.24, 1.33, 1.75
28.8, 2.29, 2.53, 3.73
30.8, 3.04, 3.41, 5.3
33.8, 4.87, 5.62, 9.52
36.8, 8.34, 9.89, 17.55
38.8, 12.47, 14.84, 25.7
40.8, 18.86, 22.15, 31.33
42.8, 28.35, 31.46, 32.26
43.8, 33.79, 35.89, 30.4
44.8, 39.83, 39.23, 27.9
45.8, 45.56, 41.68, 25.27
46.8, 49.99, 42.79, 23.23
47.8, 53.02, 43.09, 21.83
48.8, 53.91, 43.07, 21.36
49.8, 52.74, 42.96, 21.86
50.8, 49.72, 42.51, 23.2
51.8, 44.98, 41.34, 25.29
52.8, 39.32, 38.97, 27.79
53.8, 33.35, 35.4, 30.29
54.8, 27.79, 30.96, 31.98
56.8, 18.47, 21.96, 31.03
58.8, 12.29, 14.7, 24.87
60.8, 8.29, 9.85, 17.5
63.8, 4.85, 5.6, 9.51
66.8, 3.03, 3.4, 5.3
68.8, 2.29, 2.53, 3.74
73.8, 1.23, 1.33, 1.76
